dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,alpha_mean,beta_eff_mean
METR-LA,incident_perturbation,GenericAdapter,0.5415618629847557,0.028694639319967633,0.9648469951165711,0.06363857448956305,12,0.4046555894194868,,
METR-LA,incident_perturbation,RePAC,0.5181934793034112,0.02847453253734132,0.9228439626292916,0.06105854631636022,12,0.3494557047892038,1.51944566766421,0.9269026060313843
METR-LA,incident_perturbation,Target Backbone,0.5533605580297275,0.028193206916763417,0.974314591499373,0.06870034948844493,12,,,
METR-LA,random_missing_50,GenericAdapter,0.5306980993242472,0.02813827040494688,0.9578280399737976,0.06391417669059442,12,0.37816204282665095,,
METR-LA,random_missing_50,RePAC,0.5060210338734468,0.02776356818901703,0.9126576657009128,0.06108760174397715,12,0.3464567732447141,1.5193835993607838,0.9293291741264319
METR-LA,random_missing_50,Target Backbone,0.5419850140068129,0.02789292970957132,0.9727616459176384,0.06652608125077937,12,,,
METR-LA,sensor_failure_30,GenericAdapter,0.6324987195013815,0.05449896199711259,1.0512975090226881,0.06543061014976598,12,0.4122797192353644,,
METR-LA,sensor_failure_30,RePAC,0.6115056656594772,0.04965239529166496,1.0201278962643476,0.061277499047044166,12,0.2913119772998805,1.512563318014145,0.8915662731321055
METR-LA,sensor_failure_30,Target Backbone,0.6469785537628575,0.06711787675720397,1.0436640529827024,0.06580150216700426,12,,,
PEMS-BAY,incident_perturbation,GenericAdapter,0.8640817655307194,0.10390883093951603,1.6132317131870995,0.19401341822300083,12,0.4642089838384253,,
PEMS-BAY,incident_perturbation,RePAC,0.8218917010287731,0.09500922297166021,1.5549905027496218,0.18673810263505636,12,0.2683483516668919,1.5281184514363606,0.994014683900564
PEMS-BAY,incident_perturbation,Target Backbone,0.8754857019108561,0.09777295485001494,1.6324350776893277,0.18871351568763545,12,,,
PEMS-BAY,random_missing_50,GenericAdapter,0.8496596186610414,0.10235954249868291,1.59498758721546,0.19787560626603506,12,0.36063752681571365,,
PEMS-BAY,random_missing_50,RePAC,0.8006399373487006,0.09329656478614588,1.5288878391882885,0.1907166977638643,12,0.2691328390447589,1.5279277861118317,0.9927762425200836
PEMS-BAY,random_missing_50,Target Backbone,0.8682411408342462,0.10093216102407249,1.6218275084775182,0.19738371402454316,12,,,
PEMS-BAY,sensor_failure_30,GenericAdapter,1.0104163840964988,0.12640573296059843,1.8065902200430326,0.18971921831061164,12,0.6855690192743764,,
