dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,gate_mean,delta_abs_mean
METR-LA,incident_perturbation,CalibrationGuard,0.5474332939984171,0.036642672627530536,0.9677760463827071,0.08016071398701424,12,0.5476203731349787,0.03969213487887289
METR-LA,incident_perturbation,DoRAAdapter,0.5503602163949518,0.036954227398288214,0.9730837695642549,0.08182174647370895,12,1.0,0.023540306383312642
METR-LA,incident_perturbation,FailureAnomalyGuard,0.549663521449748,0.0373630646835641,0.9684937022813537,0.08135904033819794,12,0.5425178536163345,0.03243275541419787
METR-LA,incident_perturbation,GenericAdapter,0.5423182918243669,0.03591038223168383,0.9629184365542608,0.07888603015207556,12,1.0,0.037344770710861626
METR-LA,incident_perturbation,RePAC,0.5181934793034112,0.02847453253734132,0.9228439626292916,0.06105854631636022,12,,
METR-LA,incident_perturbation,Target Backbone,0.5550546425040431,0.0378033018202768,0.9722319596513325,0.08206738793329371,12,,
METR-LA,random_missing_50,CalibrationGuard,0.513427478425167,0.08520826450192498,0.9382866446764423,0.1125274318750944,12,0.5376567061961475,0.03364637516272051
METR-LA,random_missing_50,DoRAAdapter,0.5162895136815122,0.08606130152687683,0.9441236270219792,0.11400083902483042,12,1.0,0.019642349115430217
METR-LA,random_missing_50,FailureAnomalyGuard,0.514966814135947,0.08602222725718481,0.9391005087707915,0.11291069810051324,12,0.5385242377513034,0.029482645228957632
METR-LA,random_missing_50,GenericAdapter,0.5089078678764035,0.0836515120030684,0.9322165684131661,0.11074717169185877,12,1.0,0.03169805801305662
METR-LA,random_missing_50,RePAC,0.5060210338734468,0.02776356818901703,0.9126576657009128,0.06108760174397715,12,,
METR-LA,random_missing_50,Target Backbone,0.5197559234816641,0.08741196223254447,0.9439072218073515,0.11473197934957972,12,,
METR-LA,sensor_failure_30,CalibrationGuard,0.6486335945813032,0.0648170380972494,1.0563556873618365,0.06671796981547076,12,0.5674174774789753,0.05351059596313509
METR-LA,sensor_failure_30,DoRAAdapter,0.6503512201343385,0.06668683812742202,1.055442390755039,0.06853506951015265,12,1.0,0.026632577795067943
METR-LA,sensor_failure_30,FailureAnomalyGuard,0.6499897627562747,0.0662550237369409,1.0550949179877904,0.06705369826888602,12,0.5435486637420837,0.042821849706352354
