source_dataset,target_dataset,method,masked_mae,masked_rmse,runs
METR-LA,PEMS-BAY,CalibrationGuard,0.9434941170531039,1.7396860218448924,18
METR-LA,PEMS-BAY,DoRAAdapter,0.9467885021753119,1.7442102597659521,18
METR-LA,PEMS-BAY,FailureAnomalyGuard,0.9424641084571229,1.737885924382834,18
METR-LA,PEMS-BAY,GenericAdapter,0.9405212663087222,1.7344823971074443,18
METR-LA,PEMS-BAY,TargetBackbone,0.9461695786437705,1.7441778695184194,18
PEMS-BAY,METR-LA,CalibrationGuard,0.583940586682061,1.0363111055488619,18
PEMS-BAY,METR-LA,DoRAAdapter,0.5882416747339946,1.0436117062493,18
PEMS-BAY,METR-LA,FailureAnomalyGuard,0.5866482948367825,1.0384007805493782,18
PEMS-BAY,METR-LA,GenericAdapter,0.579250425511911,1.0299596819970236,18
PEMS-BAY,METR-LA,TargetBackbone,0.5899067331042791,1.0430770629421748,18
PEMS04,PEMS08,CalibrationGuard,0.3456444764256808,0.46222438826452766,18
PEMS04,PEMS08,DoRAAdapter,0.34890133647858157,0.4657128615983799,18
PEMS04,PEMS08,FailureAnomalyGuard,0.34612331025883264,0.462605839974542,18
PEMS04,PEMS08,GenericAdapter,0.3401979626899627,0.45562521643174697,18
PEMS04,PEMS08,TargetBackbone,0.3532639763501594,0.471096395766265,18
PEMS08,PEMS04,CalibrationGuard,0.446103797908115,0.6130101335819975,18
PEMS08,PEMS04,DoRAAdapter,0.4481948255298209,0.6156820326887925,18
PEMS08,PEMS04,FailureAnomalyGuard,0.44676142415055536,0.6142769240883276,18
PEMS08,PEMS04,GenericAdapter,0.44373068812581457,0.6097808546503186,18
PEMS08,PEMS04,TargetBackbone,0.44936947328182936,0.6173498127834365,18


